index lon lat shf error
0 -78.757 -11.425 42.00 15.0
1 -78.757 -11.410 40.00 15.0
2 -78.765 -11.413 41.00 15.0
3 -78.765 -11.415 42.00 15.0
4 -78.798 -11.425 35.00 15.0
5 -79.212 -11.152 49.00 15.0
6 -79.200 -11.142 49.00 15.0
7 -78.272 -11.063 27.50 17.5
8 -78.078 -11.065 45.00 17.5
9 -76.892 -13.480 45.00 17.5
10 -76.991 -12.863 60.00 17.5
11 -78.943 -11.538 46.00 17.5
12 -68.750 -33.250 63.00 14.0
13 -63.450 -20.983 47.00 20.0
14 -63.183 -20.933 50.00 20.0
15 -66.067 -20.900 70.00 10.0
16 -63.200 -20.433 55.00 20.0
17 -63.567 -20.017 33.00 20.0
18 -63.217 -19.300 54.00 20.0
19 -63.017 -17.933 53.00 20.0
20 -63.533 -17.533 50.00 20.0
21 -63.267 -17.517 56.00 20.0
22 -64.067 -17.100 59.00 20.0
23 -73.750 -15.517 44.00 20.0
24 -71.350 -14.900 32.00 15.0
25 -71.567 -16.550 44.00 10.0
26 -70.650 -17.267 66.00 5.0
27 -76.750 -10.483 17.00 20.0
28 -76.600 -12.683 35.00 10.0
29 -70.767 -17.067 57.00 15.0
30 -66.817 -18.167 90.00 30.0
31 -68.233 -17.567 73.00 20.0
32 -67.733 -16.417 68.00 10.0
33 -71.417 -14.900 75.00 9.0
34 -70.300 -16.933 50.00 9.0
35 -66.450 -24.270 120.00 15.0
36 -66.550 -24.370 100.00 15.0
37 -68.467 -27.700 81.70 15.0
38 -68.333 -28.033 78.00 15.0
39 -68.370 -27.333 100.00 15.0
40 -68.083 -26.920 105.00 15.0
41 -68.767 -27.917 77.00 15.0
42 -66.583 -21.033 75.00 9.0
43 -66.050 -21.250 70.00 9.0
44 -66.683 -21.300 94.00 9.0
45 -67.183 -19.383 83.00 9.0
46 -66.133 -21.167 94.00 9.0
47 -69.500 -15.500 55.00 7.0
48 -64.283 -22.767 27.00 7.0
49 -66.833 -18.467 109.00 7.0
50 -66.583 -18.417 66.00 7.0
51 -67.133 -17.383 75.00 7.0
52 -69.017 -15.783 99.00 7.0
53 -66.833 -18.283 112.00 7.0
54 -69.050 -15.767 106.00 7.0
55 -67.533 -17.067 62.00 7.0
56 -70.500 -35.270 102.00 18.0
57 -70.417 -33.417 78.00 18.0
58 -70.050 -33.833 101.00 18.0
59 -70.667 -33.450 93.00 18.0
60 -70.633 -33.167 97.00 18.0
61 -70.167 -33.467 61.00 9.0
62 -70.750 -33.333 79.00 9.0
63 -70.717 -28.083 23.00 4.0
64 -70.350 -27.100 36.00 4.0
65 -70.383 -27.267 36.00 4.0
66 -70.300 -26.533 10.00 4.0
67 -71.583 -30.717 72.00 7.0
68 -70.833 -28.983 36.00 4.0
69 -72.283 -40.200 110.00 22.0
70 -70.333 -35.270 88.00 22.0
71 -69.320 -28.700 72.00 22.0
72 -69.870 -35.170 85.00 22.0
73 -69.970 -35.170 85.00 22.0
74 -69.670 -29.320 76.00 22.0
75 -71.130 -37.580 80.00 22.0
76 -69.930 -32.680 70.00 22.0
77 -70.050 -34.750 104.00 22.0
78 -71.083 -37.520 95.00 22.0
79 -71.600 -16.500 41.00 5.0
80 -70.517 -16.850 42.00 5.0
81 -62.617 -39.650 77.00 5.0
82 -62.700 -39.500 69.00 5.0
83 -62.300 -38.320 55.00 11.0
84 -63.250 -38.683 77.00 11.0
85 -78.878 -11.187 59.10 8.5
86 -78.682 -11.115 35.90 19.5
87 -78.677 -11.113 41.10 17.0
88 -78.669 -11.109 34.70 17.3
89 -78.957 -11.583 48.40 20.7
90 -78.950 -11.577 45.10 20.0
91 -78.943 -11.571 42.30 23.6
92 -78.936 -11.566 47.10 21.2
93 -78.929 -11.560 51.70 19.3
94 -78.922 -11.571 52.00 21.2
95 -78.907 -11.542 55.40 19.9
96 -73.607 -37.663 63.00 30.0
97 -73.500 -37.431 79.00 25.0
98 -74.450 -41.000 38.30 17.5
99 -73.682 -36.219 34.90 17.5
100 -73.566 -36.160 35.70 17.5
101 -70.800 -21.979 38.50 16.8
102 -70.718 -22.190 64.90 16.8
103 -70.989 -23.973 48.40 16.8
104 -71.053 -23.420 27.50 16.8
105 -63.418 -18.880 40.00 17.0
106 -64.348 -22.682 39.00 17.0
107 -63.488 -21.123 38.00 17.0
108 -63.563 -20.008 21.00 17.0
109 -63.547 -17.530 36.00 17.0
110 -64.260 -17.060 42.00 17.0
111 -63.270 -17.520 43.00 17.0
112 -63.220 -19.300 40.00 17.0
113 -63.580 -20.270 38.00 17.0
114 -63.600 -21.990 55.00 17.0
