Longitude	Latitude	Heat Flow [mW/m2]	Error [mW/m2]	Reference	Data Type
index lon lat shf error
0 -78.757	-11.425	42	4.24	1	1
1 -78.757	-11.41	40	4.08	1	1
2 -78.765	-11.413	41	4.16	1	1
3 -78.765	-11.415	42	4.32	1	1
4 -78.798	-11.425	35	3.6	1	1
5 -79.212	-11.152	49	7.35	1	1
6 -79.2	-11.142	49	7.35	1	1
7 -78.272	-11.063	27.5	2.5	1	1
8 -78.078	-11.065	45	25	1	1
9 -76.892	-13.48	45	9.13	1	1
-76.991	-12.863	60	10	1	1
-78.943	-11.538	46	9.13	1	1
-68.75	-33.25	63	12.6	2	2
-63.45	-20.983	47	9.4	2	2
-63.183	-20.933	50	10	2	2
-66.067	-20.9	70	14	2	2
-63.2	-20.433	55	11	2	2
-63.567	-20.017	33	6.6	2	2
-63.217	-19.3	54	10.8	2	2
-63.017	-17.933	53	10.6	2	2
-63.533	-17.533	50	10	2	2
-63.267	-17.517	56	11.2	2	2
-64.067	-17.1	59	11.8	2	2
-69	-54	96	19.2	2	2
-73.607	-37.663	63	12.6	2	2
-73.5	-37.431	79	15.8	2	2
-69.917	-19.709	93	18.6	2	2
-73.75	-15.517	44	8.8	3	2
-71.35	-14.9	32	4.8	3	2
-71.567	-16.55	44	4.4	3	2
-70.65	-17.267	66	3.3	3	2
-76.75	-10.483	17	3.4	3	2
-76.6	-12.683	35	3.5	3	2
-70.767	-17.067	57	8.55	3	2
-66.817	-18.167	90	27	3	2
-68.233	-17.567	73	14.6	3	2
-67.733	-16.417	68	6.8	3	2
-71.417	-14.9	75	nan	4	2
-70.3	-16.933	50	nan	4	2
-66.48	-24.017	125	nan	4	3
-66.45	-24.27	121	nan	4	3
-66.55	-24.37	100	nan	4	3
-68.467	-27.7	81.7	nan	4	3
-68.333	-28.033	78	nan	4	3
-68.37	-27.333	100	nan	4	3
-68.083	-26.92	105	nan	4	3
-68.767	-27.917	77	nan	4	3
-66.583	-21.033	75	nan	4	2
-66.05	-21.25	70	nan	4	2
-66.683	-21.3	94	nan	4	2
-67.183	-19.383	83	nan	4	2
-66.133	-21.167	94	nan	4	2
-69.5	-15.5	55	nan	4	4
-64.283	-22.767	27	nan	4	2
-66.833	-18.467	109	nan	4	2
-66.583	-18.417	66	nan	4	2
-67.133	-17.383	75	nan	4	2
-69.017	-15.783	99	nan	4	2
-66.833	-18.283	112	nan	4	2
-69.05	-15.767	106	nan	4	2
-67.533	-17.067	62	nan	4	2
-70.5	-35.27	102	nan	4	3
-70.417	-33.417	78	nan	4	3
-70.05	-33.833	101	nan	4	3
-70.667	-33.45	93	nan	4	3
-71.567	-36.267	128	nan	4	3
-70.633	-33.167	97	nan	4	3
-70.167	-33.467	61	nan	4	2
-70.75	-33.333	79	nan	4	2
-70.717	-28.083	23	nan	4	3
-70.35	-27.1	36	nan	4	3
-70.383	-27.267	36	nan	4	3
-70.3	-26.533	10	nan	4	3
-71.583	-30.717	72	nan	4	3
-70.833	-28.983	36	nan	4	3
-72.283	-40.2	110	nan	4	3
-70.333	-35.27	88	nan	4	3
-69.32	-28.7	72	nan	4	3
-69.87	-35.17	85	nan	4	3
-69.97	-35.17	85	nan	4	3
-69.67	-29.32	76	nan	4	3
-71.13	-37.58	80	nan	4	3
-69.93	-32.68	70	nan	4	3
-70.05	-34.75	104	nan	4	3
-71.083	-37.52	95	nan	4	3
-69.567	-26.25	75	nan	4	3
-71.6	-16.5	41	nan	4	2
-70.517	-16.85	42	nan	4	2
-62.617	-39.65	77	nan	4	3
-62.7	-39.5	69	nan	4	3
-62.3	-38.32	55	nan	4	3
-63.25	-38.683	77	nan	4	3
-78.878	-11.187	59.1	5	5	4
-78.682	-11.115	35.9	7	5	4
-78.677	-11.113	41.1	7	5	4
-78.669	-11.109	34.7	6	5	4
-78.957	-11.583	48.4	10	5	4
-78.95	-11.577	45.1	9	5	4
-78.943	-11.571	42.3	10	5	4
-78.936	-11.566	47.1	10	5	4
-78.929	-11.56	51.7	10	5	4
-78.922	-11.571	52	11	5	4
-78.907	-11.542	55.4	11	5	4
-71.647	-15.1	110	nan	6	3
-74.45	-41	38.3	7.66	7	4
-73.682	-36.219	34.9	6.98	7	4
-73.566	-36.16	35.7	7.14	7	4
-70.8	-21.979	35.5	nan	8	4
-70.718	-22.19	43	nan	8	4
-70.832	-23.759	17	nan	8	4
-70.989	-23.973	37.8	nan	8	4
-70.805	-23.763	7	nan	8	4
-71.053	-23.42	27.5	nan	8	4
-68.232	-23.28	17	2.89	9	2
-70.182	-22.678	17	2.89	9	2
-70.093	-23.433	24	4.08	9	2
-68.915	-22.372	55	9.35	9	2
-68.913	-22.818	47	7.99	9	2
-63.418	-18.88	40	6.8	9	2
-64.348	-22.682	39	6.63	9	2
-63.488	-21.123	38	6.46	9	2
-63.563	-20.083	21	3.57	9	2
-63.547	-17.53	36	6.12	9	2
-64.262	-17.055	42	7.14	9	2
-63.268	-17.518	43	7.31	9	2
-63.22	-19.3	40	6.8	9	2
-63.578	-20.265	38	6.46	9	2
-63.598	-21.992	55	9.35	9	2
-63.947	-20.042	32	5.44	9	2
-62.933	-17.545	54	9.18	9	2
-62.29	-17.995	37	6.29	9	2
-63.1	-21.173	49	8.33	9	2
-62.965	-17.972	38	6.46	9	2
-63.215	-20.762	43	7.31	9	2
-62.907	-18.16	43	7.31	9	2
